timestamp,source,target
0,0,16
0,0,23
0,0,34
0,0,36
0,0,37
0,0,41
0,0,71
0,0,75
0,0,76
0,0,82
0,0,93
0,0,94
0,1,7
0,1,11
0,1,14
0,1,22
0,1,28
0,1,29
0,1,35
0,1,51
0,1,52
0,1,57
0,1,59
0,1,84
0,1,86
0,1,87
0,1,89
0,1,90
0,1,94
0,2,17
0,2,42
0,2,54
0,2,62
0,2,82
0,2,86
0,2,91
0,2,93
0,2,99
0,3,8
0,3,22
0,3,27
0,3,39
0,3,41
0,3,50
0,3,68
0,3,72
0,4,5
0,4,6
0,4,8
0,4,17
0,4,50
0,4,76
0,4,80
0,4,81
0,4,87
0,4,89
0,4,96
0,5,34
0,5,44
0,5,45
0,5,57
0,5,61
0,5,80
0,5,81
0,6,12
0,6,22
0,6,23
0,6,49
0,6,65
0,6,74
0,6,76
0,6,84
0,6,85
0,6,87
0,7,11
0,7,16
0,7,18
0,7,39
0,7,45
0,7,49
0,7,59
0,7,60
0,7,61
0,7,64
0,7,99
0,8,13
0,8,19
0,8,20
0,8,29
0,8,32
0,8,41
0,8,43
0,8,50
0,8,51
0,8,56
0,8,72
0,8,82
0,8,89
0,8,99
0,9,68
0,9,82
0,9,85
0,9,97
0,9,99
0,10,22
0,10,29
0,10,42
0,10,55
0,10,63
0,10,70
0,10,87
0,10,93
0,10,99
0,11,20
0,11,24
0,11,33
0,11,80
0,11,83
0,11,91
0,11,94
0,11,97
0,11,98
0,12,21
0,12,23
0,12,30
0,12,43
0,12,45
0,12,49
0,12,50
0,12,53
0,12,67
0,12,81
0,12,94
0,13,14
0,13,29
0,13,67
0,13,80
0,13,82
0,13,89
0,13,97
0,14,19
0,14,33
0,14,35
0,14,36
0,14,63
0,14,65
0,14,66
0,14,67
0,14,71
0,14,73
0,14,75
0,14,86
0,15,32
0,15,33
0,15,76
0,15,77
0,15,88
0,16,34
0,16,61
0,16,69
0,16,76
0,16,78
0,16,80
0,16,86
0,16,95
0,16,96
0,17,24
0,17,48
0,17,54
0,17,63
0,17,79
0,17,81
0,18,47
0,18,70
0,18,87
0,18,88
0,18,94
0,19,27
0,19,46
0,19,51
0,19,52
0,19,58
0,19,69
0,19,77
0,19,79
0,19,87
0,19,96
0,20,23
0,20,69
0,20,73
0,20,86
0,21,47
0,21,55
0,21,80
0,21,95
0,22,26
0,22,28
0,22,62
0,22,67
0,22,76
0,22,90
0,23,29
0,23,52
0,23,55
0,23,73
0,24,40
0,24,51
0,24,58
0,24,81
0,25,26
0,25,36
0,25,57
0,25,60
0,25,86
0,25,91
0,26,30
0,26,38
0,26,48
0,26,50
0,26,51
0,26,54
0,26,55
0,26,85
0,27,36
0,27,65
0,27,73
0,27,87
0,27,93
0,28,43
0,28,49
0,28,56
0,28,67
0,28,70
0,28,86
0,28,92
0,29,51
0,29,52
0,29,62
0,29,80
0,29,93
0,29,94
0,30,36
0,30,48
0,30,68
0,30,70
0,30,74
0,30,89
0,30,97
0,31,34
0,31,40
0,31,67
0,31,70
0,31,84
0,31,90
0,31,93
0,32,36
0,32,39
0,32,41
0,32,45
0,32,48
0,32,62
0,32,73
0,32,87
0,33,39
0,33,52
0,33,95
0,33,96
0,34,35
0,34,61
0,34,74
0,34,77
0,34,88
0,35,38
0,35,46
0,35,53
0,35,55
0,35,75
0,35,81
0,36,49
0,36,54
0,36,56
0,36,82
0,37,72
0,37,75
0,37,76
0,37,80
0,37,91
0,38,47
0,38,52
0,38,53
0,39,51
0,39,70
0,39,71
0,39,94
0,40,46
0,40,56
0,40,65
0,40,86
0,40,97
0,40,98
0,41,70
0,41,72
0,41,80
0,42,61
0,42,65
0,42,68
0,42,78
0,42,90
0,43,78
0,43,84
0,43,88
0,44,80
0,44,93
0,45,56
0,45,59
0,45,61
0,45,68
0,45,69
0,45,80
0,45,83
0,45,97
0,46,51
0,46,62
0,46,63
0,46,68
0,46,69
0,46,78
0,46,82
0,47,53
0,47,54
0,47,56
0,47,61
0,47,81
0,47,88
0,48,55
0,48,60
0,48,61
0,48,71
0,48,79
0,48,85
0,48,88
0,48,92
0,48,93
0,48,94
0,49,55
0,49,58
0,49,61
0,49,74
0,49,90
0,50,53
0,50,98
0,51,53
0,51,55
0,51,64
0,51,68
0,51,70
0,51,77
0,51,79
0,51,82
0,51,90
0,51,96
0,52,61
0,52,69
0,52,72
0,52,75
0,52,78
0,52,99
0,53,60
0,53,66
0,53,78
0,53,83
0,53,92
0,54,71
0,54,77
0,54,81
0,54,97
0,55,60
0,55,72
0,55,82
0,55,88
0,55,90
0,56,57
0,56,72
0,56,93
0,56,95
0,56,97
0,57,81
0,57,83
0,57,89
0,57,93
0,57,95
0,58,89
0,58,91
0,59,81
0,59,89
0,60,66
0,60,67
0,60,83
0,60,92
0,60,95
0,61,63
0,61,72
0,61,80
0,62,75
0,62,99
0,63,88
0,64,73
0,64,92
0,64,98
0,65,71
0,65,79
0,66,69
0,66,84
0,66,85
0,67,80
0,67,91
0,68,73
0,68,75
0,68,94
0,69,70
0,69,78
0,69,81
0,69,83
0,69,90
0,69,92
0,69,96
0,70,78
0,70,85
0,70,90
0,72,74
0,72,77
0,72,80
0,72,81
0,73,90
0,73,92
0,73,94
0,73,97
0,74,98
0,75,97
0,76,80
0,76,96
0,76,97
0,77,98
0,79,82
0,79,83
0,80,95
0,81,85
0,81,88
0,81,92
0,81,95
0,82,83
0,82,84
0,82,98
0,83,95
0,84,97
0,85,88
0,86,89
0,87,92
0,88,94
0,88,95
0,89,95
0,89,96
0,90,92
0,91,95
0,94,98
0,96,98
0,97,98
1,0,14
1,0,21
1,0,29
1,0,30
1,0,39
1,0,52
1,0,53
1,0,61
1,0,66
1,0,68
1,0,76
1,0,98
1,1,5
1,1,14
1,1,19
1,1,20
1,1,24
1,1,36
1,1,42
1,1,49
1,1,55
1,1,70
1,1,82
1,1,87
1,1,95
1,1,97
1,2,10
1,2,12
1,2,18
1,2,26
1,2,34
1,2,61
1,2,63
1,2,87
1,2,89
1,2,90
1,2,100
1,3,16
1,3,19
1,3,22
1,3,52
1,3,54
1,3,96
1,3,97
1,3,100
1,4,18
1,4,26
1,4,32
1,4,39
1,4,59
1,4,60
1,4,67
1,4,77
1,4,83
1,4,85
1,4,86
1,4,90
1,5,8
1,5,25
1,5,31
1,5,35
1,5,38
1,5,49
1,5,58
1,5,60
1,5,96
1,6,10
1,6,18
1,6,61
1,6,70
1,6,73
1,7,22
1,7,29
1,7,42
1,7,48
1,7,51
1,7,100
1,8,30
1,8,32
1,8,42
1,8,44
1,8,49
1,8,54
1,8,68
1,8,70
1,8,71
1,8,73
1,8,82
1,8,90
1,8,98
1,9,11
1,9,14
1,9,22
1,9,30
1,9,36
1,9,39
1,9,46
1,9,48
1,9,95
1,10,12
1,10,19
1,10,24
1,10,59
1,10,60
1,10,64
1,10,69
1,10,80
1,10,92
1,11,15
1,11,28
1,11,31
1,11,42
1,11,81
1,12,20
1,12,21
1,12,41
1,12,46
1,12,57
1,12,71
1,12,89
1,12,91
1,12,95
1,13,27
1,13,34
1,13,40
1,13,49
1,13,53
1,13,55
1,13,57
1,13,68
1,13,75
1,13,83
1,13,96
1,13,99
1,14,15
1,14,17
1,14,20
1,14,22
1,14,26
1,14,30
1,14,31
1,14,34
1,14,36
1,14,53
1,14,59
1,14,70
1,14,71
1,14,78
1,14,83
1,14,95
1,14,97
1,15,20
1,15,23
1,15,25
1,15,53
1,16,18
1,16,26
1,16,29
1,16,39
1,16,43
1,16,56
1,16,68
1,16,81
1,17,21
1,17,33
1,17,37
1,17,90
1,18,19
1,18,24
1,18,28
1,18,37
1,18,48
1,18,52
1,18,58
1,18,67
1,18,75
1,18,92
1,18,95
1,18,100
1,19,28
1,19,36
1,19,43
1,19,50
1,19,51
1,19,60
1,19,76
1,19,80
1,19,90
1,20,22
1,20,38
1,20,41
1,20,54
1,20,55
1,20,57
1,20,72
1,20,93
1,21,31
1,21,44
1,21,47
1,21,51
1,21,59
1,21,67
1,21,73
1,21,77
1,21,80
1,21,88
1,21,94
1,21,95
1,22,25
1,22,29
1,22,33
1,22,37
1,22,52
1,22,74
1,22,76
1,22,77
1,22,83
1,22,91
1,23,28
1,23,29
1,23,55
1,23,58
1,23,63
1,23,68
1,23,72
1,23,84
1,23,91
1,24,28
1,24,39
1,24,42
1,24,44
1,24,46
1,24,54
1,24,56
1,24,61
1,24,74
1,24,86
1,24,88
1,24,90
1,24,98
1,24,99
1,25,26
1,25,35
1,25,59
1,25,65
1,25,67
1,25,68
1,25,71
1,25,82
1,25,86
1,25,92
1,25,100
1,26,30
1,26,46
1,26,54
1,26,77
1,26,86
1,26,95
1,27,28
1,27,55
1,27,62
1,27,77
1,27,92
1,27,96
1,27,99
1,28,33
1,28,49
1,28,50
1,28,51
1,28,63
1,28,64
1,28,67
1,28,75
1,28,87
1,28,88
1,28,91
1,29,60
1,29,61
1,29,63
1,29,65
1,29,79
1,29,90
1,29,91
1,30,45
1,30,60
1,30,65
1,30,78
1,31,39
1,31,48
1,31,59
1,31,76
1,31,78
1,31,84
1,31,93
1,32,66
1,32,70
1,32,81
1,32,83
1,32,84
1,33,41
1,33,53
1,33,61
1,33,65
1,33,70
1,33,74
1,33,80
1,33,94
1,33,100
1,34,42
1,34,56
1,34,59
1,34,60
1,34,62
1,34,71
1,34,73
1,34,87
1,35,39
1,35,58
1,35,62
1,35,73
1,35,90
1,35,94
1,35,96
1,35,99
1,36,39
1,36,46
1,36,70
1,36,78
1,37,48
1,37,61
1,37,64
1,37,71
1,37,82
1,37,85
1,37,87
1,37,89
1,38,42
1,38,46
1,38,51
1,38,84
1,38,86
1,38,87
1,38,91
1,39,40
1,39,44
1,39,49
1,39,66
1,39,69
1,39,72
1,39,73
1,39,74
1,39,75
1,39,80
1,39,83
1,40,64
1,40,88
1,41,44
1,41,48
1,41,50
1,41,51
1,41,52
1,41,62
1,41,91
1,41,92
1,41,95
1,42,50
1,42,57
1,42,70
1,42,74
1,42,75
1,42,90
1,43,55
1,43,61
1,43,75
1,43,76
1,43,82
1,43,88
1,44,64
1,44,84
1,44,86
1,44,89
1,44,99
1,45,47
1,45,52
1,45,68
1,45,69
1,45,78
1,45,80
1,45,83
1,45,88
1,45,92
1,46,63
1,46,68
1,46,74
1,46,85
1,46,93
1,46,100
1,47,53
1,47,63
1,47,70
1,47,90
1,47,96
1,48,58
1,48,70
1,48,73
1,48,88
1,48,96
1,49,87
1,49,90
1,49,94
1,50,56
1,50,66
1,50,75
1,50,80
